0 с,   0.00 м/с
812 с,   28194.44 м/с
813 с,   28229.17 м/с
814 с,   28263.89 м/с
815 с,   28298.61 м/с
816 с,   28333.33 м/с
817 с,   28368.06 м/с
818 с,   28402.78 м/с
819 с,   28437.50 м/с
820 с,   28472.22 м/с
821 с,   28506.94 м/с
822 с,   28541.67 м/с
823 с,   28576.39 м/с
824 с,   28611.11 м/с
825 с,   28645.83 м/с
826 с,   28680.56 м/с
827 с,   28715.28 м/с
828 с,   28750.00 м/с
829 с,   28784.72 м/с
830 с,   28819.44 м/с
831 с,   28854.17 м/с
832 с,   28888.89 м/с
833 с,   28923.61 м/с
834 с,   28958.33 м/с
835 с,   28993.06 м/с
836 с,   29027.78 м/с
837 с,   29062.50 м/с
838 с,   29097.22 м/с
839 с,   29131.94 м/с
840 с,   29166.67 м/с
841 с,   29201.39 м/с
842 с,   29236.11 м/с
843 с,   29270.83 м/с
844 с,   29305.56 м/с
845 с,   29340.28 м/с
846 с,   29375.00 м/с
847 с,   29409.72 м/с
848 с,   29444.44 м/с
849 с,   29479.17 м/с
850 с,   29513.89 м/с
851 с,   29548.61 м/с
852 с,   29583.33 м/с
853 с,   29618.06 м/с
854 с,   29652.78 м/с
855 с,   29687.50 м/с
856 с,   29722.22 м/с
857 с,   29756.94 м/с
858 с,   29791.67 м/с
859 с,   29826.39 м/с
860 с,   29861.11 м/с
861 с,   29895.83 м/с
862 с,   29930.56 м/с
863 с,   29965.28 м/с
864 с,   30000.00 м/с
865 с,   30006.28 м/с
866 с,   30012.57 м/с
867 с,   30018.85 м/с
868 с,   30025.13 м/с
869 с,   30031.41 м/с
870 с,   30037.70 м/с
871 с,   30043.98 м/с
872 с,   30050.26 м/с
873 с,   30056.54 м/с
874 с,   30062.82 м/с
875 с,   30069.10 м/с
876 с,   30075.38 м/с
877 с,   30081.66 м/с
878 с,   30087.94 м/с
879 с,   30094.21 м/с
880 с,   30100.49 м/с
881 с,   30106.76 м/с
882 с,   30113.04 м/с
883 с,   30119.31 м/с
884 с,   30125.58 м/с
885 с,   30131.85 м/с
886 с,   30138.12 м/с
887 с,   30144.39 м/с
888 с,   30150.65 м/с
889 с,   30156.92 м/с
890 с,   30163.18 м/с
891 с,   30169.44 м/с
892 с,   30175.70 м/с
893 с,   30181.96 м/с
894 с,   30188.22 м/с
895 с,   30194.47 м/с
896 с,   30200.72 м/с
897 с,   30206.97 м/с
898 с,   30213.22 м/с
899 с,   30219.47 м/с
900 с,   30225.71 м/с
901 с,   30231.95 м/с
902 с,   30238.19 м/с
903 с,   30244.43 м/с
904 с,   30250.67 м/с
905 с,   30256.90 м/с
906 с,   30263.13 м/с
907 с,   30269.36 м/с
908 с,   30275.58 м/с
909 с,   30281.80 м/с
910 с,   30288.02 м/с
911 с,   30294.24 м/с
912 с,   30300.45 м/с
913 с,   30306.66 м/с
914 с,   30312.87 м/с
915 с,   30319.07 м/с
916 с,   30325.27 м/с
917 с,   30331.47 м/с
918 с,   30337.67 м/с
919 с,   30343.86 м/с
920 с,   30350.05 м/с
921 с,   30356.23 м/с
922 с,   30362.41 м/с
923 с,   30368.59 м/с
924 с,   30374.76 м/с
925 с,   30380.93 м/с
926 с,   30387.10 м/с
927 с,   30393.26 м/с
928 с,   30399.42 м/с
929 с,   30405.57 м/с
930 с,   30411.73 м/с
931 с,   30417.87 м/с
932 с,   30424.01 м/с
933 с,   30430.15 м/с
934 с,   30436.29 м/с
935 с,   30442.42 м/с
936 с,   30448.54 м/с
937 с,   30454.66 м/с
938 с,   30460.78 м/с
939 с,   30466.89 м/с
940 с,   30473.00 м/с
941 с,   30479.10 м/с
942 с,   30485.20 м/с
943 с,   30491.29 м/с
944 с,   30497.38 м/с
945 с,   30503.46 м/с
946 с,   30509.54 м/с
947 с,   30515.61 м/с
948 с,   30521.68 м/с
949 с,   30527.75 м/с
950 с,   30533.80 м/с
951 с,   30539.86 м/с
952 с,   30545.90 м/с
953 с,   30551.95 м/с
954 с,   30557.98 м/с
955 с,   30564.01 м/с
956 с,   30570.04 м/с
957 с,   30576.06 м/с
958 с,   30582.07 м/с
959 с,   30588.08 м/с
960 с,   30594.08 м/с
961 с,   30600.08 м/с
962 с,   30606.07 м/с
963 с,   30612.06 м/с
964 с,   30618.03 м/с
965 с,   30624.01 м/с
966 с,   30629.97 м/с
967 с,   30635.93 м/с
968 с,   30641.89 м/с
969 с,   30647.83 м/с
970 с,   30653.78 м/с
971 с,   30659.71 м/с
972 с,   30665.64 м/с
973 с,   30671.56 м/с
974 с,   30677.48 м/с
975 с,   30683.38 м/с
976 с,   30689.29 м/с
977 с,   30695.18 м/с
978 с,   30701.07 м/с
979 с,   30706.95 м/с
980 с,   30712.82 м/с
981 с,   30718.69 м/с
982 с,   30724.55 м/с
983 с,   30730.40 м/с
984 с,   30736.25 м/с
985 с,   30742.09 м/с
986 с,   30747.92 м/с
987 с,   30753.74 м/с
988 с,   30759.56 м/с
989 с,   30765.37 м/с
990 с,   30771.17 м/с
991 с,   30776.96 м/с
992 с,   30782.75 м/с
993 с,   30788.53 м/с
994 с,   30794.30 м/с
995 с,   30800.06 м/с
996 с,   30805.81 м/с
