0 с,   0.00 м/с
10592 с,   28491.50 м/с
10593 с,   28495.63 м/с
10594 с,   28499.78 м/с
10595 с,   28503.94 м/с
10596 с,   28508.12 м/с
10597 с,   28512.31 м/с
10598 с,   28516.52 м/с
10599 с,   28520.74 м/с
10600 с,   28524.97 м/с
10601 с,   28529.22 м/с
10602 с,   28533.49 м/с
10603 с,   28537.77 м/с
10604 с,   28542.06 м/с
10605 с,   28546.37 м/с
10606 с,   28550.69 м/с
10607 с,   28555.03 м/с
10608 с,   28559.38 м/с
10609 с,   28563.75 м/с
10610 с,   28568.13 м/с
10611 с,   28572.52 м/с
10612 с,   28576.93 м/с
10613 с,   28581.35 м/с
10614 с,   28585.79 м/с
10615 с,   28590.24 м/с
10616 с,   28594.70 м/с
10617 с,   28599.18 м/с
10618 с,   28603.67 м/с
10619 с,   28608.17 м/с
10620 с,   28612.69 м/с
10621 с,   28617.23 м/с
10622 с,   28621.77 м/с
10623 с,   28626.33 м/с
10624 с,   28630.91 м/с
10625 с,   28635.49 м/с
10626 с,   28640.09 м/с
10627 с,   28644.71 м/с
10628 с,   28649.33 м/с
10629 с,   28653.97 м/с
10630 с,   28658.63 м/с
10631 с,   28663.30 м/с
10632 с,   28667.98 м/с
10633 с,   28672.67 м/с
10634 с,   28677.38 м/с
10635 с,   28682.10 м/с
10636 с,   28686.83 м/с
10637 с,   28691.57 м/с
10638 с,   28696.33 м/с
10639 с,   28701.10 м/с
10640 с,   28705.89 м/с
10641 с,   28710.69 м/с
10642 с,   28715.49 м/с
10643 с,   28720.32 м/с
10644 с,   28725.15 м/с
10645 с,   28730.00 м/с
10646 с,   28734.86 м/с
10647 с,   28739.73 м/с
10648 с,   28744.62 м/с
10649 с,   28749.51 м/с
10650 с,   28754.42 м/с
10651 с,   28759.35 м/с
10652 с,   28764.28 м/с
10653 с,   28769.23 м/с
10654 с,   28774.19 м/с
10655 с,   28779.16 м/с
10656 с,   28784.14 м/с
10657 с,   28789.13 м/с
10658 с,   28794.14 м/с
10659 с,   28799.16 м/с
10660 с,   28804.19 м/с
10661 с,   28809.23 м/с
10662 с,   28814.29 м/с
10663 с,   28819.35 м/с
10664 с,   28824.43 м/с
10665 с,   28829.52 м/с
10666 с,   28834.62 м/с
10667 с,   28839.73 м/с
10668 с,   28844.85 м/с
10669 с,   28849.99 м/с
10670 с,   28855.14 м/с
10671 с,   28860.29 м/с
10672 с,   28865.46 м/с
10673 с,   28870.64 м/с
10674 с,   28875.83 м/с
10675 с,   28881.04 м/с
10676 с,   28886.25 м/с
10677 с,   28891.47 м/с
10678 с,   28896.71 м/с
10679 с,   28901.95 м/с
10680 с,   28907.21 м/с
10681 с,   28912.48 м/с
10682 с,   28917.76 м/с
10683 с,   28923.05 м/с
10684 с,   28928.35 м/с
10685 с,   28933.66 м/с
10686 с,   28938.98 м/с
10687 с,   28944.31 м/с
10688 с,   28949.65 м/с
10689 с,   28955.00 м/с
10690 с,   28960.37 м/с
10691 с,   28965.74 м/с
10692 с,   28971.12 м/с
10693 с,   28976.51 м/с
10694 с,   28981.92 м/с
10695 с,   28987.33 м/с
10696 с,   28992.75 м/с
10697 с,   28998.19 м/с
10698 с,   29003.63 м/с
10699 с,   29009.08 м/с
10700 с,   29014.55 м/с
10701 с,   29020.02 м/с
10702 с,   29025.50 м/с
10703 с,   29030.99 м/с
10704 с,   29036.49 м/с
10705 с,   29042.00 м/с
10706 с,   29047.52 м/с
10707 с,   29053.05 м/с
10708 с,   29058.59 м/с
10709 с,   29064.14 м/с
10710 с,   29069.70 м/с
10711 с,   29075.26 м/с
10712 с,   29080.84 м/с
10713 с,   29086.43 м/с
10714 с,   29092.02 м/с
10715 с,   29097.62 м/с
10716 с,   29103.23 м/с
10717 с,   29108.85 м/с
10718 с,   29114.48 м/с
10719 с,   29120.12 м/с
10720 с,   29125.77 м/с
10721 с,   29131.42 м/с
10722 с,   29137.09 м/с
10723 с,   29142.76 м/с
10724 с,   29148.44 м/с
10725 с,   29154.13 м/с
10726 с,   29159.83 м/с
10727 с,   29165.53 м/с
10728 с,   29171.25 м/с
10729 с,   29176.97 м/с
10730 с,   29182.70 м/с
10731 с,   29188.44 м/с
10732 с,   29194.19 м/с
10733 с,   29199.94 м/с
10734 с,   29205.70 м/с
10735 с,   29211.47 м/с
10736 с,   29217.25 м/с
10737 с,   29223.04 м/с
10738 с,   29228.83 м/с
10739 с,   29234.63 м/с
10740 с,   29240.44 м/с
10741 с,   29246.26 м/с
10742 с,   29252.08 м/с
10743 с,   29257.91 м/с
10744 с,   29263.75 м/с
10745 с,   29269.60 м/с
10746 с,   29275.45 м/с
10747 с,   29281.31 м/с
10748 с,   29287.18 м/с
10749 с,   29293.05 м/с
10750 с,   29298.93 м/с
10751 с,   29304.82 м/с
10752 с,   29310.71 м/с
10753 с,   29316.62 м/с
10754 с,   29322.52 м/с
10755 с,   29328.44 м/с
10756 с,   29334.36 м/с
10757 с,   29340.29 м/с
10758 с,   29346.22 м/с
10759 с,   29352.17 м/с
10760 с,   29358.11 м/с
10761 с,   29364.07 м/с
10762 с,   29370.03 м/с
10763 с,   29375.99 м/с
10764 с,   29381.97 м/с
10765 с,   29387.94 м/с
10766 с,   29393.93 м/с
10767 с,   29399.92 м/с
10768 с,   29405.92 м/с
10769 с,   29411.92 м/с
10770 с,   29417.93 м/с
10771 с,   29423.94 м/с
10772 с,   29429.96 м/с
10773 с,   29435.99 м/с
10774 с,   29442.02 м/с
10775 с,   29448.05 м/с
10776 с,   29454.10 м/с
10777 с,   29460.14 м/с
10778 с,   29466.20 м/с
10779 с,   29472.25 м/с
10780 с,   29478.32 м/с
10781 с,   29484.39 м/с
10782 с,   29490.46 м/с
10783 с,   29496.54 м/с
10784 с,   29502.62 м/с
10785 с,   29508.71 м/с
10786 с,   29514.80 м/с
10787 с,   29520.90 м/с
10788 с,   29527.00 м/с
10789 с,   29533.11 м/с
10790 с,   29539.22 м/с
10791 с,   29545.34 м/с
10792 с,   29551.46 м/с
10793 с,   29557.58 м/с
10794 с,   29563.71 м/с
10795 с,   29569.85 м/с
10796 с,   29575.99 м/с
10797 с,   29582.13 м/с
10798 с,   29588.27 м/с
10799 с,   29594.43 м/с
10800 с,   29600.58 м/с
10801 с,   29606.74 м/с
10802 с,   29612.90 м/с
10803 с,   29619.07 м/с
10804 с,   29625.24 м/с
10805 с,   29631.41 м/с
10806 с,   29637.59 м/с
10807 с,   29643.77 м/с
10808 с,   29649.95 м/с
10809 с,   29656.14 м/с
10810 с,   29662.33 м/с
10811 с,   29668.53 м/с
10812 с,   29674.73 м/с
10813 с,   29680.93 м/с
10814 с,   29687.13 м/с
10815 с,   29693.34 м/с
10816 с,   29699.55 м/с
10817 с,   29705.76 м/с
10818 с,   29711.98 м/с
10819 с,   29718.20 м/с
10820 с,   29724.42 м/с
10821 с,   29730.64 м/с
10822 с,   29736.87 м/с
10823 с,   29743.10 м/с
10824 с,   29749.33 м/с
10825 с,   29755.57 м/с
10826 с,   29761.81 м/с
10827 с,   29768.05 м/с
10828 с,   29774.29 м/с
10829 с,   29780.53 м/с
10830 с,   29786.78 м/с
10831 с,   29793.03 м/с
10832 с,   29799.28 м/с
10833 с,   29805.53 м/с
10834 с,   29811.78 м/с
10835 с,   29818.04 м/с
10836 с,   29824.30 м/с
10837 с,   29830.56 м/с
10838 с,   29836.82 м/с
10839 с,   29843.08 м/с
10840 с,   29849.35 м/с
10841 с,   29855.61 м/с
10842 с,   29861.88 м/с
10843 с,   29868.15 м/с
10844 с,   29874.42 м/с
10845 с,   29880.69 м/с
10846 с,   29886.96 м/с
10847 с,   29893.24 м/с
10848 с,   29899.51 м/с
10849 с,   29905.79 м/с
10850 с,   29912.06 м/с
10851 с,   29918.34 м/с
10852 с,   29924.62 м/с
10853 с,   29930.90 м/с
10854 с,   29937.18 м/с
10855 с,   29943.46 м/с
10856 с,   29949.74 м/с
10857 с,   29956.02 м/с
10858 с,   29962.30 м/с
10859 с,   29968.59 м/с
10860 с,   29974.87 м/с
10861 с,   29981.15 м/с
10862 с,   29987.43 м/с
10863 с,   29993.72 м/с
10864 с,   30000.00 м/с
10865 с,   30006.28 м/с
10866 с,   30012.57 м/с
10867 с,   30018.85 м/с
10868 с,   30025.13 м/с
10869 с,   30031.41 м/с
10870 с,   30037.70 м/с
10871 с,   30043.98 м/с
10872 с,   30050.26 м/с
10873 с,   30056.54 м/с
10874 с,   30062.82 м/с
10875 с,   30069.10 м/с
10876 с,   30075.38 м/с
10877 с,   30081.66 м/с
10878 с,   30087.94 м/с
10879 с,   30094.21 м/с
10880 с,   30100.49 м/с
10881 с,   30106.76 м/с
10882 с,   30113.04 м/с
10883 с,   30119.31 м/с
10884 с,   30125.58 м/с
10885 с,   30131.85 м/с
10886 с,   30138.12 м/с
10887 с,   30144.39 м/с
10888 с,   30150.65 м/с
10889 с,   30156.92 м/с
10890 с,   30163.18 м/с
10891 с,   30169.44 м/с
10892 с,   30175.70 м/с
10893 с,   30181.96 м/с
10894 с,   30188.22 м/с
10895 с,   30194.47 м/с
10896 с,   30200.72 м/с
10897 с,   30206.97 м/с
10898 с,   30213.22 м/с
10899 с,   30219.47 м/с
10900 с,   30225.71 м/с
10901 с,   30231.95 м/с
10902 с,   30238.19 м/с
10903 с,   30244.43 м/с
10904 с,   30250.67 м/с
10905 с,   30256.90 м/с
10906 с,   30263.13 м/с
10907 с,   30269.36 м/с
10908 с,   30275.58 м/с
10909 с,   30281.80 м/с
10910 с,   30288.02 м/с
10911 с,   30294.24 м/с
10912 с,   30300.45 м/с
10913 с,   30306.66 м/с
10914 с,   30312.87 м/с
10915 с,   30319.07 м/с
10916 с,   30325.27 м/с
10917 с,   30331.47 м/с
10918 с,   30337.67 м/с
10919 с,   30343.86 м/с
10920 с,   30350.05 м/с
10921 с,   30356.23 м/с
10922 с,   30362.41 м/с
10923 с,   30368.59 м/с
10924 с,   30374.76 м/с
10925 с,   30380.93 м/с
10926 с,   30387.10 м/с
10927 с,   30393.26 м/с
10928 с,   30399.42 м/с
10929 с,   30405.57 м/с
10930 с,   30411.73 м/с
10931 с,   30417.87 м/с
10932 с,   30424.01 м/с
10933 с,   30430.15 м/с
10934 с,   30436.29 м/с
10935 с,   30442.42 м/с
10936 с,   30448.54 м/с
10937 с,   30454.66 м/с
10938 с,   30460.78 м/с
10939 с,   30466.89 м/с
10940 с,   30473.00 м/с
10941 с,   30479.10 м/с
10942 с,   30485.20 м/с
10943 с,   30491.29 м/с
10944 с,   30497.38 м/с
10945 с,   30503.46 м/с
10946 с,   30509.54 м/с
10947 с,   30515.61 м/с
10948 с,   30521.68 м/с
10949 с,   30527.75 м/с
10950 с,   30533.80 м/с
10951 с,   30539.86 м/с
10952 с,   30545.90 м/с
10953 с,   30551.95 м/с
10954 с,   30557.98 м/с
10955 с,   30564.01 м/с
10956 с,   30570.04 м/с
10957 с,   30576.06 м/с
10958 с,   30582.07 м/с
10959 с,   30588.08 м/с
10960 с,   30594.08 м/с
10961 с,   30600.08 м/с
10962 с,   30606.07 м/с
10963 с,   30612.06 м/с
10964 с,   30618.03 м/с
10965 с,   30624.01 м/с
10966 с,   30629.97 м/с
10967 с,   30635.93 м/с
10968 с,   30641.89 м/с
10969 с,   30647.83 м/с
10970 с,   30653.78 м/с
10971 с,   30659.71 м/с
10972 с,   30665.64 м/с
10973 с,   30671.56 м/с
10974 с,   30677.48 м/с
10975 с,   30683.38 м/с
10976 с,   30689.29 м/с
10977 с,   30695.18 м/с
10978 с,   30701.07 м/с
10979 с,   30706.95 м/с
10980 с,   30712.82 м/с
10981 с,   30718.69 м/с
10982 с,   30724.55 м/с
10983 с,   30730.40 м/с
10984 с,   30736.25 м/с
10985 с,   30742.09 м/с
10986 с,   30747.92 м/с
10987 с,   30753.74 м/с
10988 с,   30759.56 м/с
10989 с,   30765.37 м/с
10990 с,   30771.17 м/с
10991 с,   30776.96 м/с
10992 с,   30782.75 м/с
10993 с,   30788.53 м/с
10994 с,   30794.30 м/с
10995 с,   30800.06 м/с
10996 с,   30805.81 м/с
10997 с,   30811.56 м/с
10998 с,   30817.30 м/с
10999 с,   30823.03 м/с
11000 с,   30828.75 м/с
11001 с,   30834.47 м/с
11002 с,   30840.17 м/с
11003 с,   30845.87 м/с
11004 с,   30851.56 м/с
11005 с,   30857.24 м/с
11006 с,   30862.91 м/с
11007 с,   30868.58 м/с
11008 с,   30874.23 м/с
11009 с,   30879.88 м/с
11010 с,   30885.52 м/с
11011 с,   30891.15 м/с
11012 с,   30896.77 м/с
11013 с,   30902.38 м/с
11014 с,   30907.98 м/с
11015 с,   30913.57 м/с
11016 с,   30919.16 м/с
11017 с,   30924.74 м/с
11018 с,   30930.30 м/с
11019 с,   30935.86 м/с
11020 с,   30941.41 м/с
11021 с,   30946.95 м/с
11022 с,   30952.48 м/с
11023 с,   30958.00 м/с
11024 с,   30963.51 м/с
11025 с,   30969.01 м/с
11026 с,   30974.50 м/с
11027 с,   30979.98 м/с
11028 с,   30985.45 м/с
11029 с,   30990.92 м/с
11030 с,   30996.37 м/с
11031 с,   31001.81 м/с
11032 с,   31007.25 м/с
11033 с,   31012.67 м/с
11034 с,   31018.08 м/с
11035 с,   31023.49 м/с
11036 с,   31028.88 м/с
11037 с,   31034.26 м/с
11038 с,   31039.63 м/с
11039 с,   31045.00 м/с
11040 с,   31050.35 м/с
11041 с,   31055.69 м/с
11042 с,   31061.02 м/с
11043 с,   31066.34 м/с
11044 с,   31071.65 м/с
11045 с,   31076.95 м/с
11046 с,   31082.24 м/с
11047 с,   31087.52 м/с
11048 с,   31092.79 м/с
11049 с,   31098.05 м/с
11050 с,   31103.29 м/с
11051 с,   31108.53 м/с
11052 с,   31113.75 м/с
11053 с,   31118.96 м/с
11054 с,   31124.17 м/с
11055 с,   31129.36 м/с
11056 с,   31134.54 м/с
11057 с,   31139.71 м/с
11058 с,   31144.86 м/с
11059 с,   31150.01 м/с
11060 с,   31155.15 м/с
11061 с,   31160.27 м/с
11062 с,   31165.38 м/с
11063 с,   31170.48 м/с
11064 с,   31175.57 м/с
11065 с,   31180.65 м/с
11066 с,   31185.71 м/с
11067 с,   31190.77 м/с
11068 с,   31195.81 м/с
11069 с,   31200.84 м/с
11070 с,   31205.86 м/с
11071 с,   31210.87 м/с
11072 с,   31215.86 м/с
11073 с,   31220.84 м/с
11074 с,   31225.81 м/с
11075 с,   31230.77 м/с
11076 с,   31235.72 м/с
11077 с,   31240.65 м/с
11078 с,   31245.58 м/с
11079 с,   31250.49 м/с
11080 с,   31255.38 м/с
11081 с,   31260.27 м/с
11082 с,   31265.14 м/с
11083 с,   31270.00 м/с
11084 с,   31274.85 м/с
11085 с,   31279.68 м/с
11086 с,   31284.51 м/с
11087 с,   31289.31 м/с
11088 с,   31294.11 м/с
11089 с,   31298.90 м/с
11090 с,   31303.67 м/с
11091 с,   31308.43 м/с
11092 с,   31313.17 м/с
11093 с,   31317.90 м/с
11094 с,   31322.62 м/с
11095 с,   31327.33 м/с
11096 с,   31332.02 м/с
11097 с,   31336.70 м/с
11098 с,   31341.37 м/с
11099 с,   31346.03 м/с
11100 с,   31350.67 м/с
11101 с,   31355.29 м/с
11102 с,   31359.91 м/с
11103 с,   31364.51 м/с
11104 с,   31369.09 м/с
11105 с,   31373.67 м/с
11106 с,   31378.23 м/с
11107 с,   31382.77 м/с
11108 с,   31387.31 м/с
11109 с,   31391.83 м/с
11110 с,   31396.33 м/с
11111 с,   31400.82 м/с
11112 с,   31405.30 м/с
11113 с,   31409.76 м/с
11114 с,   31414.21 м/с
11115 с,   31418.65 м/с
11116 с,   31423.07 м/с
11117 с,   31427.48 м/с
11118 с,   31431.87 м/с
11119 с,   31436.25 м/с
11120 с,   31440.62 м/с
11121 с,   31444.97 м/с
11122 с,   31449.31 м/с
11123 с,   31453.63 м/с
11124 с,   31457.94 м/с
11125 с,   31462.23 м/с
11126 с,   31466.51 м/с
11127 с,   31470.78 м/с
11128 с,   31475.03 м/с
11129 с,   31479.26 м/с
11130 с,   31483.48 м/с
11131 с,   31487.69 м/с
11132 с,   31491.88 м/с
11133 с,   31496.06 м/с
11134 с,   31500.22 м/с
11135 с,   31504.37 м/с
11136 с,   31508.50 м/с
11137 с,   31512.62 м/с
11138 с,   31516.72 м/с
11139 с,   31520.81 м/с
11140 с,   31524.89 м/с
11141 с,   31528.94 м/с
11142 с,   31532.99 м/с
11143 с,   31537.01 м/с
11144 с,   31541.03 м/с
11145 с,   31545.02 м/с
11146 с,   31549.01 м/с
11147 с,   31552.97 м/с
11148 с,   31556.92 м/с
11149 с,   31560.86 м/с
11150 с,   31564.78 м/с
11151 с,   31568.69 м/с
11152 с,   31572.58 м/с
11153 с,   31576.45 м/с
11154 с,   31580.31 м/с
11155 с,   31584.15 м/с
11156 с,   31587.98 м/с
11157 с,   31591.79 м/с
11158 с,   31595.59 м/с
11159 с,   31599.37 м/с
11160 с,   31603.13 м/с
11161 с,   31606.88 м/с
11162 с,   31610.62 м/с
11163 с,   31614.33 м/с
11164 с,   31618.03 м/с
11165 с,   31621.72 м/с
11166 с,   31625.39 м/с
11167 с,   31629.04 м/с
11168 с,   31632.68 м/с
11169 с,   31636.30 м/с
11170 с,   31639.90 м/с
11171 с,   31643.49 м/с
11172 с,   31647.07 м/с
11173 с,   31650.62 м/с
11174 с,   31654.16 м/с
11175 с,   31657.68 м/с
11176 с,   31661.19 м/с
11177 с,   31664.68 м/с
11178 с,   31668.16 м/с
11179 с,   31671.61 м/с
11180 с,   31675.06 м/с
11181 с,   31678.48 м/с
11182 с,   31681.89 м/с
11183 с,   31685.28 м/с
11184 с,   31688.66 м/с
11185 с,   31692.01 м/с
11186 с,   31695.36 м/с
11187 с,   31698.68 м/с
11188 с,   31701.99 м/с
11189 с,   31705.28 м/с
11190 с,   31708.55 м/с
11191 с,   31711.81 м/с
11192 с,   31715.05 м/с
11193 с,   31718.28 м/с
11194 с,   31721.48 м/с
11195 с,   31724.67 м/с
11196 с,   31727.85 м/с
11197 с,   31731.00 м/с
11198 с,   31734.14 м/с
11199 с,   31737.26 м/с
11200 с,   31740.37 м/с
11201 с,   31743.45 м/с
11202 с,   31746.52 м/с
11203 с,   31749.58 м/с
11204 с,   31752.61 м/с
11205 с,   31755.63 м/с
11206 с,   31758.63 м/с
11207 с,   31761.62 м/с
11208 с,   31764.58 м/с
11209 с,   31767.53 м/с
11210 с,   31770.46 м/с
11211 с,   31773.38 м/с
11212 с,   31776.27 м/с
11213 с,   31779.15 м/с
11214 с,   31782.01 м/с
11215 с,   31784.86 м/с
11216 с,   31787.68 м/с
11217 с,   31790.49 м/с
11218 с,   31793.28 м/с
11219 с,   31796.06 м/с
11220 с,   31798.81 м/с
11221 с,   31801.55 м/с
11222 с,   31804.27 м/с
11223 с,   31806.97 м/с
11224 с,   31809.65 м/с
11225 с,   31812.32 м/с
11226 с,   31814.97 м/с
11227 с,   31817.60 м/с
11228 с,   31820.21 м/с
11229 с,   31822.81 м/с
11230 с,   31825.38 м/с
11231 с,   31827.94 м/с
11232 с,   31830.48 м/с
11233 с,   31833.00 м/с
11234 с,   31835.51 м/с
11235 с,   31838.00 м/с
11236 с,   31840.46 м/с
11237 с,   31842.91 м/с
11238 с,   31845.35 м/с
11239 с,   31847.76 м/с
11240 с,   31850.15 м/с
11241 с,   31852.53 м/с
11242 с,   31854.89 м/с
11243 с,   31857.23 м/с
11244 с,   31859.55 м/с
11245 с,   31861.86 м/с
11246 с,   31864.14 м/с
11247 с,   31866.41 м/с
11248 с,   31868.66 м/с
11249 с,   31870.89 м/с
11250 с,   31873.10 м/с
11251 с,   31875.29 м/с
11252 с,   31877.47 м/с
11253 с,   31879.62 м/с
11254 с,   31881.76 м/с
11255 с,   31883.88 м/с
11256 с,   31885.98 м/с
11257 с,   31888.06 м/с
11258 с,   31890.13 м/с
11259 с,   31892.17 м/с
11260 с,   31894.20 м/с
11261 с,   31896.20 м/с
11262 с,   31898.19 м/с
11263 с,   31900.16 м/с
11264 с,   31902.11 м/с
11265 с,   31904.05 м/с
11266 с,   31905.96 м/с
11267 с,   31907.85 м/с
11268 с,   31909.73 м/с
11269 с,   31911.59 м/с
11270 с,   31913.42 м/с
11271 с,   31915.24 м/с
11272 с,   31917.04 м/с
11273 с,   31918.82 м/с
11274 с,   31920.59 м/с
11275 с,   31922.33 м/с
11276 с,   31924.06 м/с
11277 с,   31925.76 м/с
11278 с,   31927.45 м/с
11279 с,   31929.11 м/с
